date,rate
2016-07-25 00:00:00.000,1.3393
2016-07-24 00:00:00.000,1.3391
2016-07-23 00:00:00.000,1.3391
2016-07-22 00:00:00.000,1.3411
2016-07-21 00:00:00.000,1.3346
2016-07-20 00:00:00.000,1.3329
2016-07-19 00:00:00.000,1.3335
2016-07-18 00:00:00.000,1.3177
2016-07-17 00:00:00.000,1.3197
2016-07-16 00:00:00.000,1.3197
2016-07-15 00:00:00.000,1.3178
2016-07-14 00:00:00.000,1.3087
2016-07-13 00:00:00.000,1.3142
2016-07-12 00:00:00.000,1.307
2016-07-11 00:00:00.000,1.3278
2016-07-10 00:00:00.000,1.3207
2016-07-09 00:00:00.000,1.3207
2016-07-08 00:00:00.000,1.3224
2016-07-07 00:00:00.000,1.336
2016-07-06 00:00:00.000,1.332
2016-07-05 00:00:00.000,1.3395
2016-07-04 00:00:00.000,1.326
2016-07-03 00:00:00.000,1.3335
2016-07-02 00:00:00.000,1.3335
2016-07-01 00:00:00.000,1.3362
2016-06-30 00:00:00.000,1.3448
2016-06-29 00:00:00.000,1.3462
2016-06-28 00:00:00.000,1.3584
2016-06-27 00:00:00.000,1.3606
2016-06-26 00:00:00.000,1.3383
2016-06-25 00:00:00.000,1.3383
2016-06-24 00:00:00.000,1.3411
2016-06-23 00:00:00.000,1.3177
2016-06-22 00:00:00.000,1.3318
2016-06-21 00:00:00.000,1.3382
2016-06-20 00:00:00.000,1.3405
2016-06-19 00:00:00.000,1.3524
2016-06-18 00:00:00.000,1.3524
2016-06-17 00:00:00.000,1.3533
2016-06-16 00:00:00.000,1.3613
2016-06-15 00:00:00.000,1.3517
2016-06-14 00:00:00.000,1.3586
2016-06-13 00:00:00.000,1.3515
2016-06-12 00:00:00.000,1.3562
2016-06-11 00:00:00.000,1.3562
2016-06-10 00:00:00.000,1.3538
2016-06-09 00:00:00.000,1.3462
2016-06-08 00:00:00.000,1.3373
2016-06-07 00:00:00.000,1.343
2016-06-06 00:00:00.000,1.358
2016-06-05 00:00:00.000,1.3575
2016-06-04 00:00:00.000,1.3575
2016-06-03 00:00:00.000,1.3627
2016-06-02 00:00:00.000,1.3838
2016-06-01 00:00:00.000,1.3802
2016-05-31 00:00:00.000,1.3807
2016-05-30 00:00:00.000,1.392
2016-05-29 00:00:00.000,1.3921
2016-05-28 00:00:00.000,1.3921
2016-05-27 00:00:00.000,1.3891
2016-05-26 00:00:00.000,1.3861
2016-05-25 00:00:00.000,1.3914
2016-05-24 00:00:00.000,1.393
2016-05-23 00:00:00.000,1.3865
2016-05-22 00:00:00.000,1.3848
2016-05-21 00:00:00.000,1.3848
2016-05-20 00:00:00.000,1.3851
2016-05-19 00:00:00.000,1.3853
2016-05-18 00:00:00.000,1.3733
2016-05-17 00:00:00.000,1.3651
2016-05-16 00:00:00.000,1.372
2016-05-15 00:00:00.000,1.3758
2016-05-14 00:00:00.000,1.3758
2016-05-13 00:00:00.000,1.375
2016-05-12 00:00:00.000,1.3664
2016-05-11 00:00:00.000,1.3536
2016-05-10 00:00:00.000,1.3607
2016-05-09 00:00:00.000,1.3663
2016-05-08 00:00:00.000,1.3574
2016-05-07 00:00:00.000,1.3574
2016-05-06 00:00:00.000,1.3579
2016-05-05 00:00:00.000,1.339
2016-05-04 00:00:00.000,1.3407
2016-05-03 00:00:00.000,1.334
2016-05-02 00:00:00.000,1.3074
2016-05-01 00:00:00.000,1.3147
2016-04-30 00:00:00.000,1.3147
2016-04-29 00:00:00.000,1.3147
2016-04-28 00:00:00.000,1.3097
2016-04-27 00:00:00.000,1.3172
2016-04-26 00:00:00.000,1.2926
2016-04-25 00:00:00.000,1.2963
2016-04-24 00:00:00.000,1.297
