date,rate
2016-07-25 00:00:00.000,1.3177
2016-07-24 00:00:00.000,1.3128
2016-07-23 00:00:00.000,1.3121
2016-07-22 00:00:00.000,1.3137
2016-07-21 00:00:00.000,1.3058
2016-07-20 00:00:00.000,1.3017
2016-07-19 00:00:00.000,1.3018
2016-07-18 00:00:00.000,1.2979
2016-07-17 00:00:00.000,1.2965
2016-07-16 00:00:00.000,1.2959
2016-07-15 00:00:00.000,1.2966
2016-07-14 00:00:00.000,1.2906
2016-07-13 00:00:00.000,1.3059
2016-07-12 00:00:00.000,1.3004
2016-07-11 00:00:00.000,1.3107
2016-07-10 00:00:00.000,1.3042
2016-07-09 00:00:00.000,1.3039
2016-07-08 00:00:00.000,1.3039
2016-07-07 00:00:00.000,1.2994
2016-07-06 00:00:00.000,1.297
2016-07-05 00:00:00.000,1.2929
2016-07-04 00:00:00.000,1.2862
2016-07-03 00:00:00.000,1.2911
2016-07-02 00:00:00.000,1.2917
2016-07-01 00:00:00.000,1.2921
2016-06-30 00:00:00.000,1.2965
2016-06-29 00:00:00.000,1.2997
2016-06-28 00:00:00.000,1.3079
2016-06-27 00:00:00.000,1.3073
2016-06-26 00:00:00.000,1.3003
2016-06-25 00:00:00.000,1.2994
2016-06-24 00:00:00.000,1.292
2016-06-23 00:00:00.000,1.2791
2016-06-22 00:00:00.000,1.28
2016-06-21 00:00:00.000,1.2807
2016-06-20 00:00:00.000,1.2826
2016-06-19 00:00:00.000,1.2895
2016-06-18 00:00:00.000,1.2898
2016-06-17 00:00:00.000,1.2891
2016-06-16 00:00:00.000,1.2959
2016-06-15 00:00:00.000,1.2914
2016-06-14 00:00:00.000,1.2836
2016-06-13 00:00:00.000,1.2777
2016-06-12 00:00:00.000,1.2782
2016-06-11 00:00:00.000,1.2773
2016-06-10 00:00:00.000,1.2738
2016-06-09 00:00:00.000,1.2729
2016-06-08 00:00:00.000,1.2722
2016-06-07 00:00:00.000,1.2818
2016-06-06 00:00:00.000,1.2872
