date,rate
2016-07-22 00:00:00.000,1.515
2016-07-21 00:00:00.000,1.525
2016-07-20 00:00:00.000,1.545
2016-07-19 00:00:00.000,1.555
2016-07-18 00:00:00.000,1.61
2016-07-15 00:00:00.000,1.62
2016-07-14 00:00:00.000,1.62
2016-07-13 00:00:00.000,1.63
2016-07-12 00:00:00.000,1.625
2016-07-11 00:00:00.000,1.60
2016-07-08 00:00:00.000,1.575
2016-07-07 00:00:00.000,1.555
2016-07-06 00:00:00.000,1.555
2016-07-05 00:00:00.000,1.59
2016-07-04 00:00:00.000,1.61
2016-07-01 00:00:00.000,1.555
2016-06-30 00:00:00.000,1.585
2016-06-29 00:00:00.000,1.585
2016-06-28 00:00:00.000,1.56
2016-06-27 00:00:00.000,1.585
2016-06-24 00:00:00.000,1.545
2016-06-23 00:00:00.000,1.73
2016-06-22 00:00:00.000,1.71
2016-06-21 00:00:00.000,1.665
2016-06-20 00:00:00.000,1.63
2016-06-17 00:00:00.000,1.60
2016-06-16 00:00:00.000,1.55
2016-06-15 00:00:00.000,1.60
2016-06-14 00:00:00.000,1.605
2016-06-10 00:00:00.000,1.64
2016-06-09 00:00:00.000,1.61
2016-06-08 00:00:00.000,1.625
2016-06-07 00:00:00.000,1.655
2016-06-06 00:00:00.000,1.58
2016-06-03 00:00:00.000,1.635
2016-06-02 00:00:00.000,1.65
2016-06-01 00:00:00.000,1.675
2016-05-31 00:00:00.000,1.67
2016-05-30 00:00:00.000,1.645
2016-05-27 00:00:00.000,1.62
2016-05-26 00:00:00.000,1.625
2016-05-25 00:00:00.000,1.645
2016-05-24 00:00:00.000,1.63
2016-05-23 00:00:00.000,1.645
2016-05-20 00:00:00.000,1.63
2016-05-19 00:00:00.000,1.645
2016-05-18 00:00:00.000,1.62
2016-05-17 00:00:00.000,1.635
2016-05-16 00:00:00.000,1.565
2016-05-13 00:00:00.000,1.585
2016-05-12 00:00:00.000,1.575
2016-05-11 00:00:00.000,1.60
2016-05-10 00:00:00.000,1.585
2016-05-09 00:00:00.000,1.575
2016-05-06 00:00:00.000,1.58
2016-05-05 00:00:00.000,1.685
2016-05-04 00:00:00.000,1.715
2016-05-03 00:00:00.000,1.735
2016-05-02 00:00:00.000,1.87
2016-04-29 00:00:00.000,1.86
2016-04-28 00:00:00.000,1.865
2016-04-27 00:00:00.000,1.935
2016-04-26 00:00:00.000,2.05
2016-04-22 00:00:00.000,2.05
2016-04-21 00:00:00.000,2.02
2016-04-20 00:00:00.000,1.985
2016-04-19 00:00:00.000,2.01
2016-04-18 00:00:00.000,1.955
2016-04-15 00:00:00.000,2.005
2016-04-14 00:00:00.000,1.965
2016-04-13 00:00:00.000,1.93
2016-04-12 00:00:00.000,1.90
2016-04-11 00:00:00.000,1.85
2016-04-08 00:00:00.000,1.84
2016-04-07 00:00:00.000,1.865
2016-04-06 00:00:00.000,1.865
2016-04-05 00:00:00.000,1.87
2016-04-04 00:00:00.000,1.875
2016-04-01 00:00:00.000,1.94
2016-03-31 00:00:00.000,1.89
2016-03-30 00:00:00.000,1.90
2016-03-29 00:00:00.000,1.96
2016-03-24 00:00:00.000,1.965
2016-03-23 00:00:00.000,2.00
2016-03-22 00:00:00.000,1.97
2016-03-21 00:00:00.000,1.935
2016-03-18 00:00:00.000,1.935
2016-03-17 00:00:00.000,1.93
2016-03-16 00:00:00.000,2.01
2016-03-15 00:00:00.000,2.02
2016-03-14 00:00:00.000,2.06
2016-03-11 00:00:00.000,2.02
2016-03-10 00:00:00.000,1.96
2016-03-09 00:00:00.000,1.97
2016-03-08 00:00:00.000,1.95
